OO,2014,7977641,401288
OO,2013,8784873,403701
VX,2015,24211,927
OO,2015,551377,33502
VX,2013,337093,12164
VX,2014,331444,11364
AA,2015,1177565,50263
AA,2013,15260380,609485
AA,2014,15603903,693961
US,2013,7762334,268689
US,2014,7839125,265593
US,2015,600798,19859
9E,2013,3743604,166798
UA,2014,8181042,307689
HA,2013,923783,20228
UA,2013,8472052,288430
AS,2013,1729250,48457
UA,2015,583281,22064
AS,2014,1903216,58789
AS,2015,152234,5169
HA,2014,962758,24075
HA,2015,82522,2506
NK,2015,28339,1237
B6,2015,211578,7289
B6,2013,2504747,96485
B6,2014,2561498,87497
EV,2015,667300,34028
EV,2014,10809227,572221
YV,2013,972542,55859
WN,2014,23362894,771842
WN,2015,1938118,53698
EV,2013,13728135,677391
WN,2013,22780735,653028
DL,2014,31314889,792114
DL,2013,27281210,686856
DL,2015,2404005,48627
FL,2014,649961,18714
FL,2013,1795048,57401
F9,2015,30812,1665
MQ,2013,8313623,454241
F9,2014,724408,34442
MQ,2014,6348921,289210
F9,2013,731182,37887
MQ,2015,475262,25334
